condition,anaphor_agreement,argument_structure,binding,control_raising,ellipsis,filler_gap,irregular_forms,island_effects,npi_licensing,subject_verb_agreement,overall
natural_function,38.9,64.8,59.5,65.0,34.5,62.1,72.2,48.3,54.0,55.6,55.5
no_function,38.7,61.2,58.9,64.2,36.4,71.2,65.5,48.3,48.8,47.6,54.1
random_function,38.0,61.8,56.7,62.3,37.0,54.8,75.3,46.2,53.1,48.4,53.4
five_function,38.6,62.9,59.7,64.7,35.5,62.6,72.3,50.5,58.1,48.8,55.4
within_boundary,39.2,64.9,57.6,62.4,33.0,65.5,72.7,50.1,46.0,53.3,54.5
more_function,39.6,63.9,58.4,61.6,34.6,53.3,67.2,45.2,51.8,52.8,52.8
bigram_function,38.5,61.9,58.5,64.3,35.0,67.7,77.7,47.1,60.8,49.6,56.1
five_function_within_boundary,38.8,62.4,58.7,65.7,35.6,65.2,74.7,52.4,50.6,48.1,55.2
five_function_random_function,38.4,62.0,58.7,64.2,38.5,68.7,75.7,49.1,56.6,49.3,56.1
bigram_function_within_boundary,38.3,61.6,58.9,65.4,34.5,71.9,72.4,50.5,47.4,48.8,55.0
