name	language	family	closed_class	open_class	vocab	closed_ratio	open_ratio	closed_freq_ratio	open_freq_ratio
UD_Abaza-ATB	Abaza	Northwest Caucasian	45	436	481	0.09355509355509356	0.9064449064449065	0.18711656441717792	0.8128834355828221
UD_Abkhaz-AbNC	Abkhaz	Northwest Caucasian	237	4311	4548	0.052110817941952506	0.9478891820580475	0.14462865615312037	0.8553713438468796
UD_Afrikaans-AfriBooms	Afrikaans	Indo-European	167	1139	1306	0.12787136294027565	0.8721286370597243	0.5226302305721605	0.47736976942783943
UD_Afrikaans-AfriBooms	Afrikaans	Indo-European	224	2857	3081	0.0727036676403765	0.9272963323596235	0.5177813551880579	0.48221864481194204
UD_Afrikaans-AfriBooms	Afrikaans	Indo-European	336	5934	6270	0.053588516746411484	0.9464114832535885	0.5200264737430678	0.47997352625693224
UD_Akkadian-PISANDUB	Akkadian	Afro-Asiatic	90	802	892	0.10089686098654709	0.899103139013453	0.29802414928649834	0.7019758507135017
UD_Akkadian-RIAO	Akkadian	Afro-Asiatic	93	2759	2852	0.03260869565217391	0.967391304347826	0.3005969238813124	0.6994030761186877
UD_Akuntsu-TuDeT	Akuntsu	Tupian	55	461	516	0.1065891472868217	0.8934108527131783	0.2308362369337979	0.769163763066202
UD_Albanian-STAF	Albanian	Indo-European	209	915	1124	0.18594306049822065	0.8140569395017794	0.5192074403558431	0.4807925596441569
UD_Albanian-STAF	Albanian	Indo-European	222	1011	1233	0.18004866180048662	0.8199513381995134	0.5174927113702624	0.48250728862973763
UD_Albanian-STAF	Albanian	Indo-European	236	1099	1335	0.17677902621722846	0.8232209737827715	0.5210029306414848	0.47899706935851516
UD_Albanian-TSA	Albanian	Indo-European	75	412	487	0.1540041067761807	0.8459958932238193	0.44802867383512546	0.5519713261648745
UD_Alemannic-DIVITAL	Alemannic	unknown	760	4572	5332	0.14253563390847712	0.8574643660915229	0.5163735597331717	0.4836264402668284
UD_Alemannic-UZH	Alemannic	unknown	250	539	789	0.31685678073510776	0.6831432192648923	0.5146476642913698	0.48535233570863023
UD_Amharic-ATT	Amharic	Afro-Asiatic	149	1358	1507	0.09887193098871931	0.9011280690112807	0.5966311061201572	0.40336889387984276
UD_Ancient_Greek-PROIEL	Ancient_Greek	Indo-European	432	4141	4573	0.09446752678766673	0.9055324732123332	0.43429534134192793	0.5657046586580721
UD_Ancient_Greek-PROIEL	Ancient_Greek	Indo-European	1006	30823	31829	0.03160639668227089	0.9683936033177292	0.43219177740905174	0.5678082225909483
UD_Ancient_Greek-PROIEL	Ancient_Greek	Indo-European	1023	32097	33120	0.03088768115942029	0.9691123188405797	0.4323870937594916	0.5676129062405084
UD_Ancient_Greek-PTNK	Ancient_Greek	Indo-European	311	3042	3353	0.09275275872353117	0.9072472412764688	0.5109272749722188	0.4890727250277812
UD_Ancient_Greek-PTNK	Ancient_Greek	Indo-European	332	4182	4514	0.07354895879486044	0.9264510412051395	0.5033680582752409	0.49663194172475916
UD_Ancient_Greek-PTNK	Ancient_Greek	Indo-European	353	5049	5402	0.06534616808589411	0.9346538319141059	0.5061785425568772	0.4938214574431228
UD_Ancient_Greek-Perseus	Ancient_Greek	Indo-European	403	6604	7007	0.0575139146567718	0.9424860853432282	0.3499041082063188	0.6500958917936812
UD_Ancient_Greek-Perseus	Ancient_Greek	Indo-European	543	12209	12752	0.04258155583437892	0.957418444165621	0.34322607518483805	0.656773924815162
UD_Ancient_Greek-Perseus	Ancient_Greek	Indo-European	1194	40824	42018	0.028416392974439524	0.9715836070255605	0.3348933110104835	0.6651066889895165
UD_Ancient_Hebrew-PTNK	Ancient_Hebrew	Afro-Asiatic	1382	21017	22399	0.061699182999241035	0.938300817000759	0.5016299714128091	0.4983700285871909
UD_Ancient_Hebrew-PTNK	Ancient_Hebrew	Afro-Asiatic	1446	23197	24643	0.05867792070770604	0.941322079292294	0.5039388219865132	0.4960611780134868
UD_Ancient_Hebrew-PTNK	Ancient_Hebrew	Afro-Asiatic	1533	25496	27029	0.05671685966924415	0.9432831403307559	0.5040645293164987	0.4959354706835013
UD_Apurina-UFPA	Apurina	Arawakan	51	347	398	0.12814070351758794	0.871859296482412	0.21279373368146215	0.7872062663185379
UD_Arabic-PADT	Arabic	Afro-Asiatic	179	5855	6034	0.029665230361286047	0.9703347696387139	0.36946124352741216	0.6305387564725878
UD_Arabic-PADT	Arabic	Afro-Asiatic	352	19070	19422	0.01812377715992174	0.9818762228400782	0.36636015642591596	0.633639843574084
UD_Arabic-PADT	Arabic	Afro-Asiatic	374	20154	20528	0.018219017926734218	0.9817809820732658	0.3668586326958301	0.6331413673041699
UD_Arabic-PUD	Arabic	Afro-Asiatic	170	6662	6832	0.024882903981264637	0.9751170960187353	0.35873445105462415	0.6412655489453759
UD_Armenian-ArmTDP	Armenian	Indo-European	580	19903	20483	0.02831616462432261	0.9716838353756774	0.2631444537916116	0.7368555462083884
UD_Armenian-ArmTDP	Armenian	Indo-European	596	21958	22554	0.026425467766249888	0.9735745322337501	0.25724917971563477	0.7427508202843652
UD_Armenian-ArmTDP	Armenian	Indo-European	623	23779	24402	0.025530694205393	0.974469305794607	0.257034638500233	0.742965361499767
UD_Armenian-BSUT	Armenian	Indo-European	404	7529	7933	0.050926509517206606	0.9490734904827934	0.2850720742731493	0.7149279257268507
UD_Armenian-BSUT	Armenian	Indo-European	441	9901	10342	0.04264165538580545	0.9573583446141946	0.28468924399459256	0.7153107560054075
UD_Armenian-BSUT	Armenian	Indo-European	465	12114	12579	0.03696637252563797	0.963033627474362	0.28547520716927144	0.7145247928307286
UD_Assyrian-AS	Assyrian	Afro-Asiatic	75	174	249	0.30120481927710846	0.6987951807228916	0.5090439276485789	0.4909560723514212
UD_Azerbaijani-TueCL	Azerbaijani	Altaic	64	363	427	0.14988290398126464	0.8501170960187353	0.1643835616438356	0.8356164383561644
UD_Bambara-CRB	Bambara	Mande	138	913	1051	0.1313035204567079	0.8686964795432921	0.5367188815900287	0.4632811184099714
UD_Basque-BDT	Basque	Basque	728	8320	9048	0.08045977011494253	0.9195402298850575	0.26676449009537784	0.7332355099046222
UD_Basque-BDT	Basque	Basque	1032	13709	14741	0.0700088189403704	0.9299911810596296	0.2672141659268028	0.7327858340731972
UD_Basque-BDT	Basque	Basque	1553	25487	27040	0.05743343195266272	0.9425665680473373	0.2659134340708052	0.7340865659291949
UD_Bavarian-MaiBaam	Bavarian	Indo-European	769	4001	4770	0.16121593291404612	0.8387840670859539	0.49090202177293935	0.5090979782270606
UD_Beja-Autogramm	Beja	Afro-Asiatic	271	1637	1908	0.1420335429769392	0.8579664570230608	0.5105622700998423	0.48943772990015766
UD_Belarusian-HSE	Belarusian	Indo-European	1055	46968	48023	0.021968640026653895	0.9780313599733461	0.28448898217162855	0.7155110178283715
UD_Belarusian-HSE	Belarusian	Indo-European	1059	48790	49849	0.02124415735521274	0.9787558426447872	0.28339764854557353	0.7166023514544264
UD_Belarusian-HSE	Belarusian	Indo-European	1070	50691	51761	0.02067193446803578	0.9793280655319642	0.282094061222574	0.717905938777426
UD_Bengali-BRU	Bengali	Indo-European	30	113	143	0.2097902097902098	0.7902097902097902	0.3319838056680162	0.6680161943319838
UD_Bhojpuri-BHTB	Bhojpuri	Indo-European	317	1467	1784	0.17769058295964127	0.8223094170403588	0.4174903668956274	0.5825096331043725
UD_Bokota-ChibErgIS	Bokota	unknown	46	382	428	0.10747663551401869	0.8925233644859814	0.3594741613780598	0.6405258386219401
UD_Bororo-BDT	Bororo	Bororoan	2685	11733	14418	0.18622555139409072	0.8137744486059093	0.2627557382118525	0.7372442617881475
UD_Bororo-BDT	Bororo	Bororoan	2887	12529	15416	0.18727296315516348	0.8127270368448365	0.2636797422073496	0.7363202577926504
UD_Bororo-BDT	Bororo	Bororoan	3069	13296	16365	0.18753437213565535	0.8124656278643446	0.26356651064713493	0.736433489352865
UD_Breton-KEB	Breton	Indo-European	301	2322	2623	0.11475409836065574	0.8852459016393442	0.4688950789229341	0.531104921077066
UD_Bulgarian-BTB	Bulgarian	Indo-European	301	5674	5975	0.0503765690376569	0.9496234309623431	0.389520624303233	0.610479375696767
